Logo,Nom,Secteur,Année de création,Label Date,Site web,Résumé,Founders,Courriel,Téléphone
undefined,DrillSERV,Environment,2019,Dec-19,,"DrillSERV c'est une startup spécialisé en services de forage d'eau qui opère dans l'exploration,l'exploitation des eaux souterraines ainsi que la valorisation des données collectées sur les nappes d'eaux dans la gestion durable des eaux souterraines par la développement d'une application mobile.",Ahmed AouitiHamza Essayeh,n.a.,n.a.
undefined,Shadoc,Security,2020,Mar-20,,"Sirat Edition est un Spin-off de la société SIRAT qui propose une solution en ligne destinée aux entreprises et aux particuliers permettant de signer à un ou à plusieurs électroniquement des documents, de les stocker, de les partager facilement et de sécuriser les opérations par block-Chain",Amal TorkhaniAmal SelamiZakaria Karim Makni,n.a.,n.a.
undefined,cookit,FoodTech & New Food,2021,Jul-23,,"Cookit est un service de ""Meal Kit"", premier de son genre en Tunisie.
 Le principe est simple: Cookit livre des paniers repas contenant l'exacte quantité d'ingrédients nécessaires pour réaliser une recette choisie par le client via le site web ou l'application mobile. L'utilisateur choisi les recettes qu'il désire cuisiner parmi un large choix qui change chaque semaine, et le nombre de personnes pour qui il va cuisiner. Le panier est ensuite livré le jour et le créneau horaire fixé au préalable par l'utilisateur.
 Dans son panier il retrouve les ingrédients pour réaliser la ou les recettes mais aussi une fiche recette simple et détaillée. Des tutos en format vidéo, disponibles sur les réseaux sociaux, seront disponibles pour accompagner l'utilisateur dans sa préparation. 
 Pas besoin d'être un cuisinier confirmé pour utiliser Cookit. Cookit aspire à rendre la cuisine ludique et un moment de partage accessible à tous. Les recettes sont simples et ne dépassent pas les 45 minutes de préparation maximum.
 Le projet a aussi une dimension écologique: il n'y a pas de gaspillage puisque uniquement les quantités nécessaires à la réalisation de la recette sont envoyées. Les paniers utilisés sont recyclés à 60% et 100% recyclables. Cookit s'engage à utiliser uniquement des produits de saison, et, dans la mesure du possible, à s'approvisionner en circuits courts de produits made in Tunisia. 
 Notre objectif est de révolutionner le mode de consommation et remettre le fait maison au centre de notre alimentation.",Sadri GargouriKhlil Gargouri,n.a.,n.a.
undefined,Voltat Technologies,Mobility,2023,Mar-23,,"Les véhicules électriques deviennent de plus en plus populaires à mesure que les gens prennent conscience de la nécessité de réduire leur empreinte carbone et de soutenir des options de transport durables. Les scooters électriques, en particulier, sont un mode de transport pratique et respectueux de l'environnement pour les trajets courts.
 Voltat fasse un pas en avant dans l'industrie des véhicules électriques et fournisse une option accessible et abordable pour les personnes intéressées par le transport respectueux de l'environnement.",Fedia El AyebAyeb FahmiSaadi MohamedSghaier Mohamed Wael,contact@voltat.co,21658233315
undefined,Xgenbox,Environment,2023,May-23,,null,Naoufel Ben Moussakais jradMohamed salah NachiSelim Ben Mansour,n.a.,n.a.
undefined,Lanterns,Ad Tech and Creative Tech,2020,May-22,,"Studio de développement de jeux videos et services XR, Virtual Production et Motion Capture.",Jihed JaouabiNabil BrahamOussama Ben mariem,jihed.jaouabi@lanterns-studios.com,23586707
undefined,ai diagnosis vision,HealthTech,2020,Oct-20,,"AI diagnosis vision est une plateforme basée sur l'intelligence artificielle fournit aux dentistes, aux cabinets de médecins et aux hôpitaux publics un diagnostic précis et précoce des tumeurs et des kystes, une construction en 3D à partir d'une radiographie en 2D et un plan de traitement efficace .",Saoussen AyariAnouar NechiKoussai Barhoumi,n.a.,n.a.
undefined,AUZY,HealthTech,2021,Jun-22,,"AUZY est une Plateforme d’accompagnement médico-psycho-social, Soutien psychologique et orientation parentale, pour but d’organiser une prise en charge personnalisée pour les enfants autistes et  les enfants ayant des troubles neurodéveloppementaux et la santé mentale infantiles.",Abid KhouloudAhmed Sahabسلمى بن براهيمAmine Belkacem,n.a.,n.a.
undefined,LASERSEVEN,Advanced Manufacturing & Robotics,2021,Jul-22,,"LaserSeven est une startup B2B, qui a développé un service en ligne complet d’approvisionnement des pièces métalliques sur mesure de l’élaboration du devis jusqu’à la livraison, en passant par la fabrication et la logistique. En tant qu’intermédiaire, LaserSeven se charge de ce process en intégralité.",Mohamed Boudabbous,n.a.,n.a.
undefined,Handmade Tunisia,Commerce and shopping,2020,Mar-21,,Handmade Tunisia est une marketplace de vente en ligne au profit des femmes artisanes pour assurer leurs inclusion économique et promouvoir le savoir-faire tunisien,Khaoula Habouria,n.a.,n.a.
undefined,ORcompost,Agritech,2023,Dec-23,,Plateforme de collecte des déchets organiques pour les valoriser en délai réduit en compost et avec qualité supérieure pour restaurer la fertilité des sols.,Ahmed BoufahjaEmna Boufahja,ahmed.boufahja.cisco@gmail.com,+216 55149754
undefined,StreetCarHub,Commerce and shopping,2020,Aug-20,,"StreetCarHub est une plateforme qui met en place un réseau d’experts automobile pour permettre aux utilisateurs de vendre et d'acheter des voitures d'occasion certifiées, tout en garantissant la sécurité, la transparence et le gain du temps et de l'argent.",Walid M'sallemGhazi Mensi,n.a.,n.a.
undefined,Kyto-Prod,HealthTech,2019,Jan-20,,"Le projet Kyto-Prod est un projet industriel innovant en Biotech qui vise l’extraction de chitosan à partir de farine de crâbes et d’autres crustacés pour la production de produits cosmétiques, para-pharmaceutiques et environnementaux à base de chitosan qui est un biopolymère naturel que l’on obtient après une transformation de la chitine présente dans les carapaces des crustacés.",Olfa Kilani Feki,n.a.,n.a.
undefined,COLLARY,HealthTech,2023,Nov-23,,"COLLARY est une plate-forme permettant la numérisation des processus de recrutement intérimaire et à court terme dans un contexte médical.
 La transition et l’évolution d'un processus manuel, archaïque, lent, coûteux et à potentiel limité vers une plate-forme entièrement numérique de bout en bout, instantanée, rentable et scalable constitue le cœur de l'innovation que COLLARY apporte. 
 COLLARY est une plate-forme évolutive, scalable construite dans l'état de l'art des nouvelles technologies informatiques et conçue pour évoluer et s’accroitre tout en se procurant et adaptant les techniques agiles et DevOps afin de répondre à la demande du marché.
 COLLARY s’adresse à un large nombre de candidats du domaine de la santé ; qui peuvent accéder en toute sécurité aux offres et missions afin d’interagir ainsi avec les différents établissements hospitaliers (ici, on parle de centaines de milliers de candidats)... 
 Il s’agit notamment de médecins, d’infirmiers et de toutes les professions médicales connexes ; incluant également les différentes spécialités au sein de la profession du médecin.",Riadh Ben MeftahJamel Gafsi,n.a.,n.a.
undefined,Vizmerald,Advanced Manufacturing & Robotics,2021,Oct-21,,un casque pour filtrer l’air respiré qui dispose d’un circuit embarqué et peut se présenter sous forme d’un masque de respiration destiné à être porté tout d’abord par le personnel de la santé puis par toute personne travaillant dans un environnement ou l’air risque d’être contaminé ou pollué.,Bassem Seddik,n.a.,n.a.
undefined,Wefix,Environment,2021,Feb-22,,Wefix propose un service de réparation d'appareils électroménagers en ligne et de vente d'appareils électroménagers reconditionnés ainsi que la collecte d'appareils hors service.,Sabri Cheriha,wefix@wefix.tn,23296086
undefined,DEDALE SOLUTIONS,Fintech,2020,Sep-20,,DEDALE SOLUTIONS est une solution de création de plateforme digitale multi-site pour les institutions financières groupant plusieurs modules de gestion de données et de contenu.,Hichem ElloumiFatma MokadmiRiadh BrinisKhalil Masmoudi,n.a.,n.a.
undefined,Tunarco,Advanced Manufacturing & Robotics,2021,Apr-23,,null,nassira barhoumiMarwen El bari,n.a.,n.a.
undefined,Ste Magicube Industrie,Advanced Manufacturing & Robotics,2020,Mar-21,,Magicube Industire recycle des containers maritimes afin d’apporter des solutions économiques et écologiques liées à la construction,Walid Chaabene,n.a.,n.a.
undefined,X-Mall,Commerce and shopping,2023,Apr-23,,"X–Mall est un centre commercial virtuel, destiné aux employés et salariés des grandes entreprises. Les salariés adhérents à X-Mall bénéficieront d’une facilité de paiement pouvant aller jusqu'à 12 mois, et paieront leurs achats par cession sur salaire.
 
 X–Mall est un espace de vente qui inclut des enseignes et des marques tunisiennes et internationales pour permettre aux salariés des grandes entreprises des achats par facilités, des Livraisons rapides et immédiates, avec des prix préférentiels négociés à leur faveur.",Wael EL AmriHelmi Bouraoui Cherif,wael.amri@x-mall.tn,98613800
undefined,BYEISSA,Commerce and shopping,2020,Mar-21,,"Une marketplace pour la vente de pièces de rechange, un référencement des artisans automobiles et un forum d’expertise.",Ahmed ELMIMohamed JbaliaSouhaib Rejebwajdi tayachi,n.a.,n.a.
undefined,iwassel,Mobility,2019,Sep-19,,"Iwassel, Uber de la livraison, est une plateforme logistique qui connecte les e-commerces et les consommateurs pour une livraison en Point Relais.",Yasmine DahloulSarra KhemakhemFiras Rhaiem,n.a.,n.a.
undefined,DigiMove,EdTech,2023,Apr-23,,null,Iheb LourimiSaif touziHaoua GuezguezNour LadhariNassim BensassiHfaiedh Bedoui,n.a.,n.a.
undefined,SunAir Fountain® : Générateur d’eau de boisson atmosphérique par le solaire,Environment,2023,Aug-23,,"AGUA DE SOL Tunisie  a développé un panneau solaire nommé "" la SunAir Fountain®"", une solution qui permet la production de l'eau douce  à partir de deux ressources abondantes, renouvelables et gratuites : l'humidité atmosphérique et le soleil.",Rami El GolliLuc Metivier,n.a.,n.a.
undefined,HERUNDO,Business Software and services,2018,Jun-19,,"Herundo fournit des solutions de bout-en-bout aux entreprises pour le lancement de leur activité e-commerce en local et à l’international, avec une expérience client réussie.",Nizar BouguilaBecem JallouliMohamed Boujelbane,n.a.,n.a.
undefined,Tomobile Store,Commerce and shopping,2021,Feb-22,,Tomobile Store est un site de vente en ligne de produits et pièces auto,Hamdi Ammar,n.a.,n.a.
undefined,DIMAZINA,Communication services,2021,Oct-21,,Plateforme en ligne regroupant les acteurs de la création d'art ou d’esprit écologique en Tunisie et les connectant aux marchés nationaux et internationaux,Hajer SahnounFaten Sahnoun,n.a.,n.a.
undefined,Elevage des insectes (nutri-protéine),FoodTech & New Food,2023,Dec-23,,"Nutri Protein est une start-up spécialisée dans l'élevage d'insectes à des fins de lutte biologique et d'alimentation animale durable. Située dans la région de Manouba, notre ferme pilote abrite des colonies d'insectes bénéfiques tels que les coccinelles , utilisés pour lutter contre les ravageurs dans les cultures maraîchères biologiques. Nous fournissons également des insectes spécialement élevés pour l'alimentation animale, tels que les mouches soldat noirs. En exploitant le formidable potentiel des insectes, Nutri Protein propose des solutions écologiques et économiques aux agriculteurs soucieux de protéger leurs cultures et de fournir une alimentation de qualité à leur bétail. Notre équipe dynamique relève quotidiennement les nombreux défis liés à ces productions innovantes. Rejoignez l'aventure aux côtés de Nutri Protein et devenez des acteurs de la bioéconomie de demain !",Helmi Abed,contact@nutriprotein.org,23258029
undefined,PROSUMERS,Environment,2019,Dec-19,,PROSUMERS est une solution SAAS pour les études et les simulation des projets d'énergie renouvelables.,Haytham Zouari,n.a.,n.a.
undefined,Picstore,Commerce and shopping,2020,Mar-21,,Picstore.tn est une plateforme qui offre à ses clients la possibilité d’imprimer et personnaliser leurs photos numériques sur des supports physiques créatifs.,Abdellatif NajjarMourad BlaiechNidhal NasraouiSalma Cherif,n.a.,n.a.
undefined,KADRA NOVA - KN كائن,Environment,2022,Jan-23,,Kadra Nova ou KN est la première solution intelligente de collecte et de tri de bouteilles en plastique à domicile au monde. La première solution de plantation et de reboisement au monde utilisant les technologies satellite et blockchain.,Khalifa ZeddiniWalid ZeddiniYasmina Zarrouk,contact@kadranova.com,98 46 46 41
undefined,Doctolys,HealthTech,2022,Jan-23,,"Plateforme de dossier médical informatisé :
 - Gratuite pour les médecins.
 - Certifiée par les sociétés savantes qui auront accès à la healthcare bigdata utilisée dans la recherche scientifique.
 - Financée par les laboratoires pharmaceutiques qui auront accès à des outils innovants de promotion pharmaceutique intégrés dans la plateforme.",Maroua BoubakerSadok DerouichSafwen Derouiche,contact@doctolys.com,53568951
undefined,RAIS / SMART QUALITY GATE,Business Software and services,2019,Feb-22,,"SMART QUALITY GATE propose des solutions pouvant faciliter la mise en œuvre des projets de transformation agile, digitale ou pratiques.",Asma Reghimi,n.a.,n.a.
undefined,Sentinel Data,HealthTech,2017,Feb-20,,"Sentinel Data offre une solution de pointe visant la collecte, la sécurisation, le traitement, l’analyse et l’exploitation des données pharmaceutiques.",Walid MNIFOussama ELKACEHAymen Fourti,n.a.,n.a.
undefined,IMPACT NUTRITION,FoodTech & New Food,2016,Mar-21,,"Impact Sport Nutrition se spécialise dans la conception, fabrication et commercialisation de compléments alimentaires de nutrition sportive pour personnes actives.",Marouan ArianeHouda Saied,n.a.,n.a.
undefined,TechAbility,Consumer products and services,2019,May-19,,TechAbility propose une solution de monitoring de l'énergie basée sur l'intelligence artificielle qui permettra aux clients de faire des économies sur leurs factures d'électricité.,Dorra KammounOussama Romdhane,n.a.,n.a.
undefined,Agritable,Commerce and shopping,2019,Jul-21,,Agritable est une enseigne de commerce équitable qui vend en ligne des produits de la terre directement du producteur au consommateur.,Hajer SialaSophiene Jebabli,n.a.,n.a.
undefined,TAOO,Fintech,2022,Jan-23,,"Un programme de fidélité multi-marques qui donne accès aux utilisateurs à des offres ciblées et à la possibilité de payer en plusieurs fois. Pour nos marques partenaires, TAOO est une solution de ""couponing"" digital qui permet de cibler les clients et de booster les ventes.",Walid Hached,walid.hached@taoo.ai,22216000
undefined,Empowair,TravelTech,2023,Nov-23,,"EmpowAir SaaS pulg & play solution multi-fournisseurs multi-contenus, dédiée aux compagnies aériennes et aux hôtels, offre la possibilité d'une combinaison dynamique de différents contenus de voyage provenant de différentes sources en temps réel. Elle permet de créer des forfaits de voyage sur mesure pour les voyageurs, et de les réserver directement sur le site des compagnies aériennes ou des hôtels.",Atef MeftahIuliia Matviets,info@empowair.com,33423500005
undefined,WaterSec,Environment,2021,Aug-21,,WaterSec offre un systèm intelligent de supervision de la consommation d’eau via une application web et mobile connectée à des capteurs IoT.,Ahmed Slim BouakezKhoubeib TliliZoubeir ZarroukMohamed Guenbri,n.a.,n.a.
undefined,HYDROPEN TECHNOLOGIE,Agritech,2020,Jul-21,,"HYDROPEN TECHNOLOGIE product et installe des serres bioclimatiques autonomes en énergie, avec des matériaux innovants destinées à l'agriculture hors sol.",Tawfik Ben HamadiZied BoukhrisMourad Chaabane,n.a.,n.a.
undefined,Videsys,Ad Tech and Creative Tech,2019,Sep-19,,Videsys est une platforme de distribution de contenu video avec insertion dynamique de publicité vidéo.,Abdelaziz KtariWalid Messaoudia,n.a.,n.a.
undefined,Smart Racing Hub,Ad Tech and Creative Tech,2021,Jul-21,,"Smart Racing Hub est un réseau de clubs destinés aux enfants, spécialisés dans la course immersive des voitures téléguidées en réalité augmentée.",Oussema Dhaouadi,n.a.,n.a.
undefined,VENARI SECURITY  TUNISIA,Security,2020,Aug-22,,Développement des solutions informatiques de cybersécurité et de protection informatique.,MILLAR THOMS JOHN,n.a.,n.a.
undefined,Cognira Tunisia,Business Software and services,2016,Feb-21,,"Cognira est spécialisée dans le conseil et le développement de solutions d’analyse de données destinées aux professionnels du retail, basées sur l'IA et le ML",Hatem Sellami,n.a.,n.a.
undefined,Dqlick,Business Software and services,2018,May-19,,Dqlick est une insurtech spécialisée dans la digitalisation et la transformation numérique dans le domaine de l’assurance des personnes.,Hamdi Bouslah,n.a.,n.a.
undefined,AYSHEK,Commerce and shopping,2019,Sep-19,,"AYSHEK est un site e-commerce de vente de produits tunisiens alimentaires, artisanaux et de terroir dans le monde entier.",Mohamed Amine Baatout,n.a.,n.a.
undefined,WeCode Land,EdTech,2018,Jun-19,,WeCode Land développe des formation en économie numérique pour faire face à l'inactivité économique des jeunes et accompagner la transition digitale dans la région.,Wala KasmiMohamed Ali Boumiza,n.a.,n.a.
undefined,WAY CARE,Mobility,2020,May-22,,"WAYCARE est une plateforme qui met en relation directe les concessionnaires automobiles et les utilisateurs de véhicules à travers une application mobile et un programme de fidélité.
 Grace à WAYCARE, il est possible de tracer le cycle de vie complet d'un véhicule.",Aymen TouhentSouha ManderJamel Eddine BEN AISSA,contact@xelero.io,56630000
undefined,Vital Tools,Business Software and services,2021,Aug-21,,"Vital Tools est une plateforme de gestion du travail collaboratif basé sur le cloud, pour gérer le travail inter-fonctionnel à grande échelle dans un environnement de ""single-source of truth"".",Yassine BouchouchaAli Babbou,yassine.bouchoucha@vitaltools.tn,21623096879
undefined,SMARTY,EdTech,2022,Aug-22,,Smarty est une application ludo-éducative avec la technologie de la réalité augmenté destiné aux enfants à l'âge de scolarité. Nous intégrons les objectifs d'apprentissage du programme scolaire aux principaux jeux et activités proposés.,Marwa SoukiMayssa Souki,contact@smarty.tn,n.a.
undefined,Karriery,EdTech,2022,May-22,,Karriery est une plateforme qui aide les demandeurs d'emploi à maximiser leurs chances d'obtenir des entretiens d'embauche en les mettant en contact avec des rédacteurs de CV professionnels spécialisés dans leur secteur.,Halim BoussadaSamy Ben Chaalia,halimboussada10@gmail.com,58065605
undefined,Womia,HealthTech,2022,Oct-22,,Womia développe une plateforme technologique qui permet aux cliniciens d’exploiter en toute sécurité la puissance de l’Intelligence Artificielle (IA) dans leurs workflows cliniques.,Ouissem LahouarAnas DoguiSabrine Aidi,sknani@womia.io,n.a.
undefined,AIO Events,Business Software and services,2024,Nov-24,,null,Iyed Ben MassoudOussama ErrifiDerouich AymenAli Baroudi,n.a.,n.a.
undefined,Servini,Business Software and services,2022,May-23,,"une application de prise de commande sur tables pour les restaurants,hotels,café, bars ainsi que réservation",Ramzi HachichaMohamed Achraf JomaaZied HachichaDhia eddine Abdelli,n.a.,n.a.
undefined,UCOD,Business Software and services,2023,Jan-24,,"UCOD est une plateforme de script visuel révolutionnaire qui rend le développement logiciel accessible à tous. Elle propose une interface conviviale pour créer des logiciels sans écrire de code, idéale aussi bien pour les débutants que pour les développeurs expérimentés.",Mouadh Hsoumi,contact@ucod.io,21622083857
undefined,Bi'nergy,Environment,2022,May-23,,Bi'nergy est une entreprise spécialisée dans la conception et la fabrication de solutions de méthanisation et de cogénération,Mohamed WaliHelmi Ben Amara,benamara.helmi@binergy.com.tn,21625229000
undefined,CYNOIA,Business Software and services,2019,Jan-20,,CYNOIA est une plate-forme CPaaS qui fournit un ensemble d'outils destinés aux PMEs dans le cadre de l'amélioration de la communication interne et externe.,Ayoub RabehNassreddine Riahi,n.a.,n.a.
undefined,Reevalo,Real Estate Tech,2020,May-21,,"Reevalo est un outil d'analyse du marché Immobilier à travers une plateforme d'échange permet aux utilisateurs d’évaluer en ligne un bien immobilier seulement en renseignant l'adresse, la ville ou le quartier.",Bacem Rezgui,n.a.,n.a.
undefined,Time and Money Tracker,Fintech,2021,Jun-23,,null,Yousri HajriAhmed AYADI,n.a.,n.a.
undefined,Logis Technologies,Business Software and services,2018,Jan-20,,Logis Technologies fournit différents ensembles d'outils conçus pour le secteur immobilier afin d'aider les professionnels de l'immobilier à gérer efficacement leur entreprise et les consommateurs à trouver facilement leur logement.,Riadh Ellouze,n.a.,n.a.
undefined,Société DOM Services,Commerce and shopping,2018,Sep-19,,Dom Services est une application qui connecte des entreprises ou ménages à différentes offres de services d'entretien et de maintenance.,Khaled Dhifallah Ennefii,n.a.,n.a.
undefined,Marhba.tn Experiences,TravelTech,2021,Mar-21,,Marhba.tn est une platforme de mise en relation entre organisateurs d'expériences culturelles et touristiques locales avec leurs clientèle cible tunisienne et étrangère.,Farouk OueslatiDorsaf Touil,n.a.,n.a.
undefined,KALYS,Commerce and shopping,2017,Feb-20,,KALYS est une plateforme de vente en ligne d'objets décoratifs artisanaux aux influences méditerranéennes.,Sonia HachichaHugues Blin,n.a.,n.a.
undefined,Mass SA,Ad Tech and Creative Tech,2012,May-19,,"Mass est un fournisseur de solutions logicielles avancées de Marketing analytique, axées sur les outils de Modélisation Mix Marketing.",Ramla JarrarFiras Jabloun,n.a.,n.a.
undefined,Access Aligner,HealthTech,2019,Aug-20,,Access Aligner est spécialisée dans la fabrication de traitements orthodontiques par gouttières invisibles.,Hind Ben SalemWassim ToukabriSofiane Gritli,n.a.,n.a.
undefined,I POMM,Advanced Manufacturing & Robotics,2019,Apr-20,,IPOMM est une solution SaaS de maintenance (GMAO ) et facility management basée sur l'importation de la DATA à partir des maquettes numériques de la technologie BIM ( Building Information Building) tout en intégrant la portabilité et IoT,Aymen KarouiSaber BellajIyed Benhassen,n.a.,n.a.
undefined,SCIENCIA,EdTech,2014,Sep-19,,"Sciencia est spécialisée dans la vulgarisation Scientifique et Technologique, la création de contenu, la création de kits éducatifs (Sciences & Technologies), l'animation d'ateliers, la formation et l'équipement des formateurs externes",Latifa El GhezalMohamed Jaidane,n.a.,n.a.
undefined,ASEPTIKA LAB,HealthTech,2016,Aug-19,,Il s'agit d'un laboratoire dermo-cosmétique certifié qui veut digitaliser les cosmétiques naturels par un diagnostic de peau en ligne.,Selima ZaoualiAziz Zaouali,n.a.,n.a.
undefined,FlowsMaster,Business Software and services,2020,Oct-20,,"Technagile Innovation Labs propose des solutions innovantes pour servir ses clients dans leurs transformation digitale, basées sur les dernières technologies. Grâce à la RFID et à l'intelligence artificielle, ils offrent une expérience client unique à des prix accessibles.",Jamel GasriNesrine Ben GuiratWajih AbidiKhaled Ben YounesAhmed Mnasri,n.a.,n.a.
undefined,STRIKE MOTOTRS,Mobility,2019,Jan-20,,"STRIKE MOTORS développe et produit des véhicules à trois roues électriques et à essence innovants avec un design ergonomique, customisable et à usage multiple.",Mohamed Ben Mahmoud,n.a.,n.a.
undefined,Développement d'un biomédicament anti-obésité,HealthTech,2022,Jan-23,,null,jannet kamounAhmed Aloulou,n.a.,n.a.
undefined,Mon Ingénieur Express,Business Software and services,2022,Dec-22,,"Mon Ingénieur Express est une plateforme de recrutement d'ingénieurs en télétravail, qui associe l'expertise métier aux nouvelles technologies. Elle permet de RECRUTER DES INGÉNIEURS À DISTANCE de façon très  simple. ET À DES TARIFS 50% MOINS ÉLEVÉS QU’EN Europe.",Mohamed Moatez JendoubiFrederic Delahaigue,med.moatez.benmedien@gmail.com,58133669
undefined,فريد حول العالم,EdTech,2020,Aug-20,,"Horizon Education développe et produit du contenu éducatif physique et virtuel en ayant recours à la réalité augmentée pour les familles et les enfants sous la marque ""فريد حول العالم""",Mohamed Amine BelkahlaMohamed NabiMouadh Mkadmi,n.a.,n.a.
